minor: 0,minor: 1,minor: 2,minor: 3,minor: 4,minor: 5,minor: 6,minor: 7,minor: 8,minor: 9,minor: 10,minor: 11,minor: 12,minor: 13,minor: 14,minor: 15,minor: 16,minor: 17,minor: 18,minor: 19,minor: 20,minor: 21,minor: 22,minor: 23,minor: 24,label
-60.33333333,-59.08333333,-70,-77,-80.57142857,-53.21428571,-50.08333333,-67.5,-71.66666667,-79.75,-66.45454545,-60.5,-71.125,-81.57142857,-78.4,-62.55555556,-60,-66.33333333,-71.25,-75.5,-71.125,-66.44444444,-72.125,-70.45454545,-81.5,41
-62.5,-56.58333333,-70.28571429,-80,-82,-48.75,-50.81818182,-67,-73.18181818,-76.4,-57.90909091,-60,-67.11111111,-76.33333333,-76,-61.4,-57.75,-72.72727273,-73.36363636,-75.33333333,-64.5,-67.27272727,-74.14285714,-66.66666667,-77.25,41
-63.5,-60.75,-71.22222222,-74.42857143,-80.57142857,-52.54545455,-50.09090909,-64.83333333,-72.63636364,-72.28571429,-59.7,-60.22222222,-71.85714286,-72.5,-84.5,-61.4,-58.18181818,-74.09090909,-76.2,-75.57142857,-66.69230769,-63.71428571,-72.71428571,-64.33333333,-82.5,41
-65.55555556,-59.22222222,-69.08333333,-79.33333333,-80.5,-60.42857143,-49.88888889,-62,-79.4,-75.5,-63.3,-61.5,-69.5,-75.5,-73.57142857,-61.66666667,-59.625,-69.16666667,-77.8,-77.33333333,-66.75,-66.16666667,-77,-68.83333333,-80.5,41
-67,-64,-70.8,-74.25,-79.28571429,-63.41666667,-56.5,-66.15384615,-81.4,-78.71428571,-64.5,-66.66666667,-74.22222222,-77.33333333,-79.90909091,-57.36363636,-65,-72,-76.4,-81.6,-62.66666667,-63.85714286,-75.61538462,-68,-80,42
-65.22222222,-69.28571429,-71,-75.66666667,-86.75,-62.6,-59.28571429,-68.2,-74.25,-76.33333333,-60,-64.33333333,-68.69230769,-71,-76.33333333,-56.07692308,-62.25,-75.33333333,-79.33333333,-76.8,-65.15384615,-63.2,-75.18181818,-66.88888889,-80.375,42
-60.8,-64.08333333,-74.91666667,-76.375,-82,-57.54545455,-62.27272727,-69.75,-74.8,-84.5,-61.8,-61.57142857,-77.71428571,-79.125,-80,-55.28571429,-60.44444444,-73.71428571,-79.75,-79,-67.09090909,-65.375,-75.36363636,-64.41666667,-89.5,42
-76.16666667,-80,-92.33333333,-90.25,-80,-70.6,-75.5,-88.66666667,-89,-95.5,-79.6,-77.90909091,-89.83333333,-89.25,-90.7,-68.6,-73.14285714,-83.83333333,-89.85714286,-90.6,-83.5,-79.4,-86.6,-78.85714286,-94,42
-76.83333333,-74.5,-85.83333333,-97.6,-91.5,-70.41666667,-72.88888889,-81.08333333,-93,-92.4,-83.14285714,-82.5,-88.3,-94.625,-90.85714286,-70,-79.44444444,-87.76923077,-89.28571429,-94.16666667,-76,-78.8,-88.875,-78,-94,42
-63.63636364,-65,-75,-80.1,-82.8,-58.94117647,-61.09090909,-68.33333333,-74.69230769,-84.5,-57.3,-53.84615385,-68.11111111,-81.66666667,-74.58333333,-66.83333333,-59.73333333,-63.54545455,-79.8,-80.28571429,-69.23076923,-65.125,-79.75,-79.42857143,-82.14285714,43
-64.5625,-62.58333333,-73.25,-78.4,-71,-56.72727273,-62,-67.66666667,-75.71428571,-75.33333333,-52.5,-58,-71.8,-72.16666667,-72.3,-66.6,-58.41666667,-66.66666667,-81.77777778,-75.9,-71.25,-61,-78,-75,-78,43
-71.4,-61.92307692,-73.125,-79.33333333,-78,-65.55555556,-56,-66.1,-73.4,-81.66666667,-53.08333333,-62.8,-72.36363636,-73,-69,-61.83333333,-58.47058824,-65.07692308,-78,-81.75,-69.46153846,-68.88888889,-75.11111111,-75.875,-81.6,43
-85.4,-68,-88.25,-89.5,-92,-73.2,-67.55555556,-78,-79,-89.5,-64,-75.22222222,-79.71428571,-84.5,-79.22222222,-74.58333333,-68.875,-75,-82.25,-86.66666667,-81.4,-75.8,-90,-85.125,-93,43
-71.53846154,-59.42857143,-74.85714286,-76,-76.625,-65.85714286,-58.125,-65.22222222,-81.22222222,-78.66666667,-50.4,-62.33333333,-67.11111111,-81.25,-70.72727273,-59.875,-60,-66.57142857,-74.16666667,-77.30769231,-74.5,-75.54545455,-76.35294118,-74,-80,43
-88.14285714,-86.55555556,-85.6,-89.25,-88.66666667,-75.5,-77.57142857,-78.8,-80.16666667,-96.8,-80.25,-74.85714286,-79.8,-83.75,-88.375,-73.54545455,-65.86666667,-87.22222222,-86.33333333,-87.75,-72.91666667,-69.44444444,-85.55555556,-77.8,-87,60
-90,-87.6,-89.28571429,-89.92307692,-91.5,-83.0625,-87.28571429,-79,-80.14285714,-90.2,-81.5,-74.11111111,-80.11111111,-80.75,-83.375,-65.14285714,-66.84615385,-85.84615385,-84.88888889,-89.9,-82,-69.33333333,-86.2,-78.91666667,-89.22222222,60
-84.55555556,-94.125,-89.25,-94.33333333,-86.75,-79.16666667,-87.25,-78.33333333,-84.6,-88.875,-86.2,-69.23076923,-77,-83.66666667,-85.33333333,-70,-63.5,-81.75,-83.75,-89.11111111,-83.11111111,-72.27272727,-87.85714286,-74.71428571,-85.42857143,60
-87.4,-84.75,-86.5,-91.5,-90.75,-82.57142857,-81.28571429,-86.85714286,-85.5,-88.66666667,-76,-67.25,-82.25,-83.25,-80,-72.57142857,-63.5,-88.6,-78.66666667,-86.4,-69,-70.14285714,-84.625,-77.57142857,-86.5,60
-89.25,-91.5,-90,-87,-91,-87,-80.63636364,-79.28571429,-84.625,-88.57142857,-72.81818182,-69.66666667,-81.5,-87.88888889,-76.41666667,-72.07692308,-69.375,-79.85714286,-86.58333333,-86.08333333,-74.5,-68.14285714,-81.85714286,-72.88888889,-84.66666667,60
-65.16666667,-67.33333333,-73.66666667,-69.77777778,-75,-67.71428571,-56.61538462,-63.44444444,-70.2,-73.44444444,-47.11111111,-56,-61.1875,-71.77777778,-73.23076923,-57.90909091,-54.85714286,-68.22222222,-76.66666667,-76.75,-61.875,-56.875,-70,-63.375,-81.28571429,61
-64.8125,-67.5,-70.54545455,-73,-76.25,-67.875,-57.63636364,-62,-70.09090909,-70,-48.5,-61.375,-59.85714286,-78.57142857,-71.33333333,-57,-59,-71.45454545,-80,-77.625,-56.4,-53.5,-70.85714286,-67.72727273,-74.6,61
-64.46153846,-66.9,-68.33333333,-68.8,-73.5,-61.21428571,-58.41666667,-60.23076923,-71.77777778,-68.33333333,-52.5,-53.42857143,-62.18181818,-77.16666667,-68.5,-56.375,-51.71428571,-67.09090909,-75.57142857,-75.75,-57.86666667,-57.2,-69,-65,-73.83333333,61
-64.85714286,-67.8,-76.7,-72.45454545,-73.1,-64.8,-57.66666667,-58.91666667,-72.2,-76.33333333,-50.8,-51.375,-64,-70.16666667,-70,-57.92307692,-59.42857143,-69.63636364,-77.125,-72.16666667,-59.7,-58.1,-70.75,-74.3,-76,61
-65.77777778,-67,-74.125,-78,-77,-64,-58.375,-60.5,-69.72727273,-72,-47.85714286,-52.09090909,-60.7,-74.6,-69.44444444,-50.09090909,-55.66666667,-73.18181818,-78,-67.85714286,-63,-57,-69,-66.66666667,-75.92857143,61
-64.375,-69.33333333,-74.6,-76.2,-73.75,-64.8,-70.4,-71.75,-71.83333333,-80.33333333,-64.25,-58.13333333,-63.8125,-76.75,-77,-57.16666667,-62.77777778,-70.66666667,-72.6,-81.07142857,-54.77777778,-59.44444444,-71,-68.875,-75.6,62
-71.81818182,-69.77777778,-80.14285714,-80,-81.90909091,-68.625,-75.66666667,-68.375,-78.375,-77,-65.5,-60.25,-66.36363636,-72.57142857,-71.25,-60.42857143,-62.92857143,-76.125,-74.08333333,-74.44444444,-57,-59.4,-69.84615385,-70.85714286,-74.33333333,62
-75.625,-79,-84.83333333,-92.5,-82.5,-70.875,-68,-71.3,-82.11111111,-91,-60.75,-72,-73.5,-85,-77.88888889,-64.33333333,-64.88888889,-78.25,-80.54545455,-80,-64.09090909,-61.1,-75.66666667,-69.77777778,-79.71428571,62
-70,-73,-74.71428571,-79.625,-82.66666667,-65.53846154,-63.21428571,-70.9,-70.66666667,-72.85714286,-63.88888889,-62.71428571,-69.18181818,-75.66666667,-77,-61.41176471,-63,-71.2,-74.90909091,-78.2,-60.78571429,-59.125,-72.77777778,-62.33333333,-74.11111111,62
-71.11111111,-70.46153846,-77.66666667,-81.2,-89,-65.7,-61.64285714,-70.8125,-74.5,-78.66666667,-56.38461538,-61.88888889,-68.75,-74.14285714,-73.6,-57.58333333,-64,-68,-71.88888889,-72.83333333,-57,-63.27272727,-70.83333333,-59.5,-67.83333333,62
-69.25,-72.72727273,-73.625,-70.41666667,-74.85714286,-68.75,-61.44444444,-64.83333333,-69.54545455,-70.63636364,-67,-61.25,-68.28571429,-77.58823529,-74,-51.8,-51.18181818,-69.23076923,-76.14285714,-76.33333333,-64.4,-57.14285714,-79.5,-62.71428571,-73.66666667,63
-80.5,-86.4,-85,-85,-86,-83,-82.5,-78.28571429,-83.25,-91.25,-82.5,-72.125,-79.85714286,-84.57142857,-79.1,-72.125,-68.57142857,-91.5,-85.83333333,-89,-70.5,-82.4,-85.66666667,-75.6,-87,63
-72.22222222,-69.75,-76,-77,-77.25,-64,-63,-63.14285714,-73.66666667,-67.8,-59.57142857,-65.15384615,-63.42857143,-75,-71,-49.1,-50.35714286,-72.42857143,-75.33333333,-74.33333333,-60,-62.27272727,-72.72727273,-67.3,-73.71428571,63
-70,-71.8,-78.6,-75.46153846,-72.33333333,-67.5,-62.75,-63.90909091,-67.66666667,-70.25,-64.2,-58.75,-62.75,-73.63636364,-69.4,-51.69230769,-50.66666667,-71.16666667,-71.71428571,-76.58333333,-66.9,-64.53846154,-72,-59.1,-74.125,63
-88.85714286,-89,-93.4,-89.75,-91.5,-91.33333333,-79.71428571,-74.75,-79.75,-88.16666667,-79,-72.71428571,-84.8,-89.8,-82.5,-64,-67.375,-84.14285714,-86.66666667,-83,-71.875,-75.33333333,-88.125,-74.28571429,-91,63
-95.33333333,-88.57142857,-92,-93,-93.66666667,-89.25,-80.5,-83,-96,-92,-81.8,-78,-80.66666667,-91.66666667,-88,-71.57142857,-66.28571429,-72.11111111,-86.33333333,-88,-69.28571429,-76.57142857,-86.625,-68.5,-88.375,80
-90,-91.57142857,-91.4,-93.2,-95.16666667,-86.44444444,-80.2,-84.4,-89.66666667,-89,-80.57142857,-84.22222222,-80.36363636,-89.5,-87.07692308,-70.8,-63.58333333,-82.5,-85.75,-92.625,-71.88888889,-62.71428571,-87.6,-68.75,-88.2,80
-94.6,-87.85714286,-93.75,-92.18181818,-96.5,-88.2,-89.81818182,-85.75,-92,-94.75,-84,-82.4,-89.375,-90,-86,-71.78571429,-63.7,-72.66666667,-86.5,-88.5,-68.36363636,-63.21428571,-82.7,-73.09090909,-89.14285714,80
-90.33333333,-89,-97.5,-88.33333333,-90.33333333,-85,-88,-85.57142857,-86,-91.5,-82.11111111,-84.55555556,-88.125,-88,-90.55555556,-79.85714286,-67,-77.75,-84,-92.2,-67.1,-66.71428571,-86.33333333,-71.27272727,-86.36363636,80
-78.33333333,-80,-94,-78.8,-88.2,-79.57142857,-72.33333333,-72,-80.2,-90,-81,-74.16666667,-78.16666667,-90,-83.2,-72.6,-63.71428571,-67.83333333,-89,-84.8,-53.5,-54.83333333,-75.42857143,-59,-78.8,80
-64.1,-64.5,-66.8,-74.81818182,-77,-63.23076923,-66.14285714,-66.6,-77.875,-77.57142857,-58.1,-59.55555556,-71.5,-73.83333333,-71.9,-58.4,-57.44444444,-65.6,-76.57142857,-72.44444444,-60.16666667,-60.30769231,-71.33333333,-60,-73.83333333,81
-64.44444444,-69.4,-74.3,-73.92307692,-81.85714286,-61.5,-70.08333333,-68.5,-76.66666667,-79,-55.14285714,-60.8125,-67.14285714,-78.66666667,-70.75,-61.42857143,-54.5,-69.33333333,-74.8,-74.25,-66,-59.2,-71.33333333,-64.42857143,-74.25,81
-76.75,-80.83333333,-88,-87,-91,-77,-82,-76,-90.66666667,-94.2,-71.33333333,-75,-83.2,-89.66666667,-91.5,-71.85714286,-71.57142857,-82,-80,-91.25,-71.33333333,-74.66666667,-82.2,-81.4,-92,81
-64.16666667,-68.2,-74,-78.2,-77.4,-63.22222222,-65.5,-66.125,-74.57142857,-76.85714286,-55,-61.25,-68.3,-76.125,-77.66666667,-55.71428571,-55.11111111,-66.25,-77,-75.5,-54.16666667,-59.71428571,-71.375,-66,-72.66666667,81
-65,-74.4,-71.57142857,-70,-76.125,-62.69230769,-72.8,-64.71428571,-77,-75.83333333,-54,-59.78571429,-69,-71.77777778,-74.14285714,-52.45454545,-55.55555556,-63.1,-80.75,-74.42857143,-53.53846154,-54,-72.77777778,-65.15384615,-78,81
-87.85714286,-85.23076923,-87.5,-87.625,-93.4,-85.2,-83.75,-76.875,-87.5,-83,-85.5,-77.125,-83.33333333,-87.54545455,-84.08333333,-73.61538462,-66.3,-77.22222222,-88.8,-91.15384615,-74.46666667,-68.41666667,-91.5,-80.71428571,-94.2,82
-84.75,-85.27272727,-90.63636364,-88,-94,-85.42857143,-83.83333333,-80,-89.28571429,-89.75,-79.33333333,-75,-86.33333333,-87,-94.2,-79.22222222,-64.71428571,-76.4,-88.7,-96.5,-69.53333333,-73.125,-84.66666667,-81.33333333,-92,82
-77.83333333,-79.25,-79.83333333,-85.28571429,-83.4,-74.375,-69.8,-69.5,-77.42857143,-81.16666667,-74.16666667,-64.36363636,-78,-80,-82.75,-60.4,-59.83333333,-68.83333333,-82.33333333,-86.16666667,-55.5,-61.33333333,-96,-76.2,-77.66666667,82
-70,-74.71428571,-71,-80,-79.4,-74,-70.16666667,-60.14285714,-80,-75.9,-60.41666667,-64.11764706,-67.66666667,-74.5,-74.71428571,-58.46153846,-55.11111111,-58.64285714,-72.33333333,-74.6,-47,-62.4,-72.71428571,-65.5,-75.54545455,82
-71.27272727,-72.61538462,-79.25,-70,-81.75,-68.8,-69.36363636,-60.64285714,-74.22222222,-76.90909091,-64.66666667,-59.125,-71,-81.5,-72.4,-57.6,-54.75,-58.77777778,-70.85714286,-82,-49.27272727,-56.57142857,-68.90909091,-65.85714286,-73.25,82
